preferred_label_esco,potential_entity_variants_dbpedia,class_label_dbpedia,entity_valid_variants_dbpedia,llm_formatted_entity,llm_expanded_class_label
biomedical engineering,"['Biomedical_Engineering', 'biomedical_Engineering', 'Biomedical_engineering', 'biomedical_engineering']","['university', 'software', 'person function']","['Biomedical_Engineering', 'Biomedical_engineering']",biomedical engineering,software
biomedical engineering,"['Biomedical_Engineering', 'biomedical_Engineering', 'Biomedical_engineering', 'biomedical_engineering']","['university', 'software', 'person function']","['Biomedical_Engineering', 'Biomedical_engineering']",biomedical engineering,person function
business law,"['business_Law', 'Business_Law', 'business_law', 'Business_law']",['person function'],['Business_Law'],business law,person function
BlackBerry,"['blackberry', 'Blackberry']",['plant'],['Blackberry'],blackberry,plant
motion graphics,"['motion_graphics', 'Motion_graphics', 'Motion_Graphics', 'motion_Graphics']","['work', 'music genre']",['Motion_graphics'],motion graphics,work
motion graphics,"['motion_graphics', 'Motion_graphics', 'Motion_Graphics', 'motion_Graphics']","['work', 'music genre']",['Motion_graphics'],motion graphics,music genre
cultural history,"['Cultural_history', 'cultural_history', 'cultural_History', 'Cultural_History']","['person function', 'music genre']","['Cultural_History', 'Cultural_history']",cultural history,person function
cultural history,"['Cultural_history', 'cultural_history', 'cultural_History', 'Cultural_History']","['person function', 'music genre']","['Cultural_History', 'Cultural_history']",cultural history,music genre
beeswax,"['Beeswax', 'beeswax']",['award'],['Beeswax'],beeswax,award
civil engineering,"['Civil_engineering', 'civil_engineering', 'civil_Engineering', 'Civil_Engineering']","['university', 'sport', 'person function']","['Civil_engineering', 'Civil_Engineering']",civil engineering,university
civil engineering,"['Civil_engineering', 'civil_engineering', 'civil_Engineering', 'Civil_Engineering']","['university', 'sport', 'person function']","['Civil_engineering', 'Civil_Engineering']",civil engineering,sport
civil engineering,"['Civil_engineering', 'civil_engineering', 'civil_Engineering', 'Civil_Engineering']","['university', 'sport', 'person function']","['Civil_engineering', 'Civil_Engineering']",civil engineering,person function
acoustics,"['acoustics', 'Acoustics']",['work'],['Acoustics'],acoustics,work
electric current,"['Electric_current', 'electric_Current', 'Electric_Current', 'electric_current']",['album'],['Electric_current'],electric current,album
Arabic,"['arabic', 'Arabic']",['language'],['Arabic'],arabic,language
reflexology,"['reflexology', 'Reflexology']",['drug'],['Reflexology'],reflexology,drug
urology,"['urology', 'Urology']","['organisation', 'person function']",['Urology'],urology,organisation
urology,"['urology', 'Urology']","['organisation', 'person function']",['Urology'],urology,person function
genealogy,"['genealogy', 'Genealogy']","['book', 'music genre']",['Genealogy'],genealogy,book
genealogy,"['genealogy', 'Genealogy']","['book', 'music genre']",['Genealogy'],genealogy,music genre
communication studies,"['Communication_studies', 'Communication_Studies', 'communication_Studies', 'communication_studies']","['sport', 'university', 'university']","['Communication_studies', 'Communication_Studies']",communication studies,sport
communication studies,"['Communication_studies', 'Communication_Studies', 'communication_Studies', 'communication_studies']","['sport', 'university', 'university']","['Communication_studies', 'Communication_Studies']",communication studies,university
communication studies,"['Communication_studies', 'Communication_Studies', 'communication_Studies', 'communication_studies']","['sport', 'university', 'university']","['Communication_studies', 'Communication_Studies']",communication studies,university
architectural theory,"['architectural_theory', 'Architectural_Theory', 'architectural_Theory', 'Architectural_theory']","['Band', 'person function']",['Architectural_theory'],architectural theory,Band
architectural theory,"['architectural_theory', 'Architectural_Theory', 'architectural_Theory', 'Architectural_theory']","['Band', 'person function']",['Architectural_theory'],architectural theory,person function
rhetoric,"['rhetoric', 'Rhetoric']","['person', 'person function']",['Rhetoric'],rhetoric,person
rhetoric,"['rhetoric', 'Rhetoric']","['person', 'person function']",['Rhetoric'],rhetoric,person function
Cisco,"['cisco', 'Cisco']","['company', 'agent', 'organisation']",['Cisco'],cisco,company
Cisco,"['cisco', 'Cisco']","['company', 'agent', 'organisation']",['Cisco'],cisco,agent
Cisco,"['cisco', 'Cisco']","['company', 'agent', 'organisation']",['Cisco'],cisco,organisation
economics,"['economics', 'Economics']","['work', 'university']",['Economics'],economics,work
economics,"['economics', 'Economics']","['work', 'university']",['Economics'],economics,university
dimension stone,"['Dimension_Stone', 'Dimension_stone', 'dimension_stone', 'dimension_Stone']",['building'],['Dimension_stone'],dimension stone,building
metaphysics,"['metaphysics', 'Metaphysics']","['organisation', 'music genre']",['Metaphysics'],metaphysics,organisation
metaphysics,"['metaphysics', 'Metaphysics']","['organisation', 'music genre']",['Metaphysics'],metaphysics,music genre
metalworking,"['Metalworking', 'metalworking']",['Election'],['Metalworking'],metalworking,Election
palliative care,"['palliative_care', 'palliative_Care', 'Palliative_Care', 'Palliative_care']",['programming language'],['Palliative_care'],palliative care,programming language
financial management,"['Financial_Management', 'financial_Management', 'Financial_management', 'financial_management']",['person function'],['Financial_management'],financial management,person function
molecular biology,"['molecular_biology', 'molecular_Biology', 'Molecular_Biology', 'Molecular_biology']",['music genre'],['Molecular_biology'],molecular biology,music genre
plant propagation,"['plant_Propagation', 'plant_propagation', 'Plant_propagation', 'Plant_Propagation']",['Election'],['Plant_propagation'],plant propagation,Election
statistics,"['statistics', 'Statistics']","['book', 'music genre']",['Statistics'],statistics,book
statistics,"['statistics', 'Statistics']","['book', 'music genre']",['Statistics'],statistics,music genre
dermatology,"['dermatology', 'Dermatology']","['medical specialty', 'organisation', 'person function']",['Dermatology'],dermatology,medical specialty
dermatology,"['dermatology', 'Dermatology']","['medical specialty', 'organisation', 'person function']",['Dermatology'],dermatology,organisation
dermatology,"['dermatology', 'Dermatology']","['medical specialty', 'organisation', 'person function']",['Dermatology'],dermatology,person function
biophysics,"['biophysics', 'Biophysics']","['work', 'person function']",['Biophysics'],biophysics,work
biophysics,"['biophysics', 'Biophysics']","['work', 'person function']",['Biophysics'],biophysics,person function
photography,"['Photography', 'photography']","['work', 'music genre']",['Photography'],photography,work
photography,"['Photography', 'photography']","['work', 'music genre']",['Photography'],photography,music genre
sedimentology,"['sedimentology', 'Sedimentology']",['person function'],['Sedimentology'],sedimentology,person function
Taleo,"['Taleo', 'taleo']","['company', 'agent', 'organisation']",['Taleo'],taleo,company
Taleo,"['Taleo', 'taleo']","['company', 'agent', 'organisation']",['Taleo'],taleo,agent
Taleo,"['Taleo', 'taleo']","['company', 'agent', 'organisation']",['Taleo'],taleo,organisation
cinematography,"['Cinematography', 'cinematography']","['work', 'person function']",['Cinematography'],cinematography,work
cinematography,"['Cinematography', 'cinematography']","['work', 'person function']",['Cinematography'],cinematography,person function
cosmetics,"['Cosmetics', 'cosmetics']",['chemical compound'],['Cosmetics'],cosmetics,chemical compound
customer insight,"['customer_Insight', 'Customer_Insight', 'Customer_insight', 'customer_insight']",['road junction'],['Customer_insight'],customer insight,road junction
business intelligence,"['Business_intelligence', 'business_Intelligence', 'Business_Intelligence', 'business_intelligence']","['music genre', 'music genre']","['Business_intelligence', 'Business_Intelligence']",business intelligence,music genre
business intelligence,"['Business_intelligence', 'business_Intelligence', 'Business_Intelligence', 'business_intelligence']","['music genre', 'music genre']","['Business_intelligence', 'Business_Intelligence']",business intelligence,music genre
astronomy,"['astronomy', 'Astronomy']","['book', 'music genre']",['Astronomy'],astronomy,book
astronomy,"['astronomy', 'Astronomy']","['book', 'music genre']",['Astronomy'],astronomy,music genre
radioactive contamination,"['radioactive_Contamination', 'radioactive_contamination', 'Radioactive_contamination', 'Radioactive_Contamination']",['disease'],['Radioactive_contamination'],radioactive contamination,disease
geographic information systems,"['Geographic_Information_Systems', 'geographic_information_Systems', 'geographic_Information_systems', 'geographic_Information_Systems', 'geographic_information_systems', 'Geographic_information_Systems', 'Geographic_information_systems', 'Geographic_Information_systems']",['music genre'],['Geographic_information_systems'],geographic information systems,music genre
optical instruments,"['optical_instruments', 'optical_Instruments', 'Optical_Instruments', 'Optical_instruments']",['person function'],['Optical_instruments'],optical instruments,person function
real-time computing,"['real-time_Computing', 'Real-time_Computing', 'real-time_computing', 'Real-time_computing']",['music genre'],['Real-time_computing'],real-time computing,music genre
psychoacoustics,"['Psychoacoustics', 'psychoacoustics']",['book'],['Psychoacoustics'],psychoacoustics,book
clinical neurophysiology,"['Clinical_Neurophysiology', 'clinical_Neurophysiology', 'clinical_neurophysiology', 'Clinical_neurophysiology']",['Food'],['Clinical_neurophysiology'],clinical neurophysiology,Food
logistics,"['logistics', 'Logistics']",['music genre'],['Logistics'],logistics,music genre
wildlife,"['Wildlife', 'wildlife']",['music genre'],['Wildlife'],wildlife,music genre
Occitan,"['Occitan', 'occitan']",['language'],['Occitan'],occitan,language
plastic surgery,"['Plastic_surgery', 'plastic_Surgery', 'plastic_surgery', 'Plastic_Surgery']","['person function', 'anatomical structure', 'person function']","['Plastic_surgery', 'Plastic_Surgery']",plastic surgery,person function
plastic surgery,"['Plastic_surgery', 'plastic_Surgery', 'plastic_surgery', 'Plastic_Surgery']","['person function', 'anatomical structure', 'person function']","['Plastic_surgery', 'Plastic_Surgery']",plastic surgery,anatomical structure
plastic surgery,"['Plastic_surgery', 'plastic_Surgery', 'plastic_surgery', 'Plastic_Surgery']","['person function', 'anatomical structure', 'person function']","['Plastic_surgery', 'Plastic_Surgery']",plastic surgery,person function
R,"['r', 'R']",['radio station'],['R'],r,radio station
Edmodo,"['edmodo', 'Edmodo']","['company', 'agent', 'organisation']",['Edmodo'],edmodo,company
Edmodo,"['edmodo', 'Edmodo']","['company', 'agent', 'organisation']",['Edmodo'],edmodo,agent
Edmodo,"['edmodo', 'Edmodo']","['company', 'agent', 'organisation']",['Edmodo'],edmodo,organisation
literature,"['literature', 'Literature']",['music genre'],['Literature'],literature,music genre
biology,"['Biology', 'biology']","['work', 'university']",['Biology'],biology,work
biology,"['Biology', 'biology']","['work', 'university']",['Biology'],biology,university
paleontology,"['paleontology', 'Paleontology']","['book', 'person function']",['Paleontology'],paleontology,book
paleontology,"['paleontology', 'Paleontology']","['book', 'person function']",['Paleontology'],paleontology,person function
neuropathology,"['Neuropathology', 'neuropathology']",['book'],['Neuropathology'],neuropathology,book
speech recognition,"['speech_recognition', 'Speech_recognition', 'Speech_Recognition', 'speech_Recognition']",['music genre'],['Speech_recognition'],speech recognition,music genre
architectural design,"['architectural_Design', 'Architectural_Design', 'architectural_design', 'Architectural_design']","['academic journal', 'university']",['Architectural_Design'],architectural design,academic journal
architectural design,"['architectural_Design', 'Architectural_Design', 'architectural_design', 'Architectural_design']","['academic journal', 'university']",['Architectural_Design'],architectural design,university
Hadoop,"['hadoop', 'Hadoop']",['music genre'],['Hadoop'],hadoop,music genre
geology,"['Geology', 'geology']","['work', 'person function']",['Geology'],geology,work
geology,"['Geology', 'geology']","['work', 'person function']",['Geology'],geology,person function
cognitive psychology,"['cognitive_psychology', 'Cognitive_Psychology', 'cognitive_Psychology', 'Cognitive_psychology']",['book'],['Cognitive_psychology'],cognitive psychology,book
medical genetics,"['Medical_genetics', 'medical_genetics', 'Medical_Genetics', 'medical_Genetics']","['organisation', 'person function', 'person function']","['Medical_genetics', 'Medical_Genetics']",medical genetics,organisation
medical genetics,"['Medical_genetics', 'medical_genetics', 'Medical_Genetics', 'medical_Genetics']","['organisation', 'person function', 'person function']","['Medical_genetics', 'Medical_Genetics']",medical genetics,person function
medical genetics,"['Medical_genetics', 'medical_genetics', 'Medical_Genetics', 'medical_Genetics']","['organisation', 'person function', 'person function']","['Medical_genetics', 'Medical_Genetics']",medical genetics,person function
musical instruments,"['Musical_instruments', 'musical_instruments', 'Musical_Instruments', 'musical_Instruments']",['person function'],['Musical_instruments'],musical instruments,person function
balneotherapy,"['Balneotherapy', 'balneotherapy']",['drug'],['Balneotherapy'],balneotherapy,drug
computer engineering,"['computer_Engineering', 'Computer_engineering', 'Computer_Engineering', 'computer_engineering']","['sport', 'person function']",['Computer_engineering'],computer engineering,sport
computer engineering,"['computer_Engineering', 'Computer_engineering', 'Computer_Engineering', 'computer_engineering']","['sport', 'person function']",['Computer_engineering'],computer engineering,person function
orthotics,"['orthotics', 'Orthotics']",['Food'],['Orthotics'],orthotics,Food
military logistics,"['Military_logistics', 'military_logistics', 'Military_Logistics', 'military_Logistics']",['sport'],['Military_logistics'],military logistics,sport
insurance law,"['insurance_law', 'insurance_Law', 'Insurance_law', 'Insurance_Law']",['company'],['Insurance_law'],insurance law,company
project commissioning,"['Project_Commissioning', 'Project_commissioning', 'project_Commissioning', 'project_commissioning']",['Election'],['Project_commissioning'],project commissioning,Election
gastroenterology,"['Gastroenterology', 'gastroenterology']","['medical specialty', 'organisation', 'person function']",['Gastroenterology'],gastroenterology,medical specialty
gastroenterology,"['Gastroenterology', 'gastroenterology']","['medical specialty', 'organisation', 'person function']",['Gastroenterology'],gastroenterology,organisation
gastroenterology,"['Gastroenterology', 'gastroenterology']","['medical specialty', 'organisation', 'person function']",['Gastroenterology'],gastroenterology,person function
Haskell,"['haskell', 'Haskell']","['language', 'programming language']",['Haskell'],haskell,language
Haskell,"['haskell', 'Haskell']","['language', 'programming language']",['Haskell'],haskell,programming language
biomarkers,"['Biomarkers', 'biomarkers']",['music genre'],['Biomarkers'],biomarkers,music genre
psychoanalysis,"['Psychoanalysis', 'psychoanalysis']",['person function'],['Psychoanalysis'],psychoanalysis,person function
theology,"['theology', 'Theology']","['book', 'person function']",['Theology'],theology,book
theology,"['theology', 'Theology']","['book', 'person function']",['Theology'],theology,person function
ecology,"['Ecology', 'ecology']","['work', 'university']",['Ecology'],ecology,work
ecology,"['Ecology', 'ecology']","['work', 'university']",['Ecology'],ecology,university
psychopharmacology,"['Psychopharmacology', 'psychopharmacology']","['book', 'person function']",['Psychopharmacology'],psychopharmacology,book
psychopharmacology,"['Psychopharmacology', 'psychopharmacology']","['book', 'person function']",['Psychopharmacology'],psychopharmacology,person function
dressmaking,"['dressmaking', 'Dressmaking']",['person function'],['Dressmaking'],dressmaking,person function
database,"['database', 'Database']","['book', 'music genre']",['Database'],database,book
database,"['database', 'Database']","['book', 'music genre']",['Database'],database,music genre
communication,"['Communication', 'communication']","['Band', 'university']",['Communication'],communication,Band
communication,"['Communication', 'communication']","['Band', 'university']",['Communication'],communication,university
philosophy,"['philosophy', 'Philosophy']","['book', 'person function']",['Philosophy'],philosophy,book
philosophy,"['philosophy', 'Philosophy']","['book', 'person function']",['Philosophy'],philosophy,person function
primitive technology,"['Primitive_Technology', 'primitive_Technology', 'primitive_technology', 'Primitive_technology']","['person', 'animal', 'eukaryote', 'species', 'Youtuber']",['Primitive_Technology'],primitive technology,person
primitive technology,"['Primitive_Technology', 'primitive_Technology', 'primitive_technology', 'Primitive_technology']","['person', 'animal', 'eukaryote', 'species', 'Youtuber']",['Primitive_Technology'],primitive technology,animal
primitive technology,"['Primitive_Technology', 'primitive_Technology', 'primitive_technology', 'Primitive_technology']","['person', 'animal', 'eukaryote', 'species', 'Youtuber']",['Primitive_Technology'],primitive technology,eukaryote
primitive technology,"['Primitive_Technology', 'primitive_Technology', 'primitive_technology', 'Primitive_technology']","['person', 'animal', 'eukaryote', 'species', 'Youtuber']",['Primitive_Technology'],primitive technology,species
primitive technology,"['Primitive_Technology', 'primitive_Technology', 'primitive_technology', 'Primitive_technology']","['person', 'animal', 'eukaryote', 'species', 'Youtuber']",['Primitive_Technology'],primitive technology,Youtuber
medical terminology,"['Medical_terminology', 'Medical_Terminology', 'medical_Terminology', 'medical_terminology']",['language'],['Medical_terminology'],medical terminology,language
restorative justice,"['restorative_justice', 'Restorative_justice', 'restorative_Justice', 'Restorative_Justice']",['programming language'],['Restorative_justice'],restorative justice,programming language
audiometry,"['Audiometry', 'audiometry']",['organisation'],['Audiometry'],audiometry,organisation
Islam,"['Islam', 'islam']",['ethnic group'],['Islam'],islam,ethnic group
law enforcement,"['law_enforcement', 'law_Enforcement', 'Law_enforcement', 'Law_Enforcement']",['person function'],['Law_enforcement'],law enforcement,person function
Synfig,"['Synfig', 'synfig']","['software', 'work']",['Synfig'],synfig,software
Synfig,"['Synfig', 'synfig']","['software', 'work']",['Synfig'],synfig,work
hazard analysis and critical control points,"['Hazard_analysis_and_critical_Control_points', 'hazard_analysis_And_critical_Control_Points', 'Hazard_analysis_and_Critical_Control_Points', 'hazard_Analysis_And_Critical_Control_Points', 'Hazard_Analysis_and_Critical_Control_Points', 'Hazard_Analysis_And_critical_control_points', 'Hazard_analysis_And_Critical_Control_points', 'Hazard_analysis_and_critical_control_Points', 'hazard_analysis_And_Critical_control_Points', 'hazard_analysis_and_critical_Control_points', 'hazard_analysis_And_Critical_control_points', 'Hazard_analysis_And_critical_control_points', 'hazard_Analysis_And_Critical_Control_points', 'Hazard_analysis_And_Critical_Control_Points', 'Hazard_analysis_and_Critical_Control_points', 'Hazard_Analysis_and_Critical_control_points', 'hazard_Analysis_and_Critical_Control_Points', 'hazard_Analysis_and_critical_Control_Points', 'Hazard_Analysis_And_critical_control_Points', 'Hazard_Analysis_and_Critical_Control_points', 'hazard_Analysis_And_critical_control_points', 'hazard_Analysis_And_critical_Control_Points', 'hazard_analysis_and_critical_control_points', 'hazard_Analysis_and_critical_control_Points', 'hazard_analysis_and_Critical_control_Points', 'hazard_analysis_And_Critical_Control_Points', 'hazard_Analysis_And_critical_control_Points', 'Hazard_Analysis_And_Critical_control_Points', 'Hazard_analysis_And_Critical_control_points', 'hazard_analysis_and_Critical_Control_Points', 'Hazard_Analysis_and_critical_Control_Points', 'Hazard_Analysis_and_critical_control_points', 'Hazard_Analysis_And_Critical_control_points', 'hazard_Analysis_and_critical_control_points', 'hazard_Analysis_And_Critical_control_Points', 'Hazard_Analysis_and_Critical_control_Points', 'Hazard_Analysis_And_Critical_Control_points', 'hazard_analysis_and_Critical_Control_points', 'Hazard_analysis_And_critical_Control_points', 'Hazard_Analysis_and_critical_Control_points', 'hazard_Analysis_and_Critical_Control_points', 'hazard_Analysis_and_Critical_control_Points', 'Hazard_Analysis_and_critical_control_Points', 'Hazard_analysis_and_critical_control_points', 'Hazard_Analysis_And_Critical_Control_Points', 'hazard_analysis_and_critical_control_Points', 'hazard_analysis_And_critical_Control_points', 'hazard_Analysis_and_Critical_control_points', 'hazard_Analysis_and_critical_Control_points', 'hazard_Analysis_And_critical_Control_points', 'Hazard_analysis_and_Critical_control_Points', 'hazard_analysis_and_critical_Control_Points', 'hazard_analysis_and_Critical_control_points', 'Hazard_analysis_and_Critical_control_points', 'hazard_Analysis_And_Critical_control_points', 'Hazard_analysis_and_critical_Control_Points', 'hazard_analysis_And_critical_control_Points', 'Hazard_analysis_And_critical_control_Points', 'hazard_analysis_And_Critical_Control_points', 'Hazard_analysis_And_Critical_control_Points', 'Hazard_Analysis_And_critical_Control_points', 'hazard_analysis_And_critical_control_points', 'Hazard_Analysis_And_critical_Control_Points', 'Hazard_analysis_And_critical_Control_Points']",['programming language'],['Hazard_analysis_and_critical_control_points'],hazard analysis and critical control points,programming language
Buddhism,"['Buddhism', 'buddhism']","['ethnic group', 'country']",['Buddhism'],buddhism,ethnic group
Buddhism,"['Buddhism', 'buddhism']","['ethnic group', 'country']",['Buddhism'],buddhism,country
Assertiveness,"['assertiveness', 'Assertiveness']",['organisation'],['Assertiveness'],assertiveness,organisation
social pedagogy,"['social_Pedagogy', 'social_pedagogy', 'Social_pedagogy', 'Social_Pedagogy']",['sport'],['Social_pedagogy'],social pedagogy,sport
general surgery,"['general_Surgery', 'General_surgery', 'general_surgery', 'General_Surgery']","['Food', 'person function', 'person function']","['General_surgery', 'General_Surgery']",general surgery,Food
general surgery,"['general_Surgery', 'General_surgery', 'general_surgery', 'General_Surgery']","['Food', 'person function', 'person function']","['General_surgery', 'General_Surgery']",general surgery,person function
general surgery,"['general_Surgery', 'General_surgery', 'general_surgery', 'General_Surgery']","['Food', 'person function', 'person function']","['General_surgery', 'General_Surgery']",general surgery,person function
Schoology,"['schoology', 'Schoology']","['work', 'website']",['Schoology'],schoology,work
Schoology,"['schoology', 'Schoology']","['work', 'website']",['Schoology'],schoology,website
osteology,"['osteology', 'Osteology']",['book'],['Osteology'],osteology,book
business process modelling,"['Business_process_modelling', 'business_process_Modelling', 'Business_Process_modelling', 'business_Process_modelling', 'business_Process_Modelling', 'Business_process_Modelling', 'Business_Process_Modelling', 'business_process_modelling']",['music genre'],['Business_process_modelling'],business process modelling,music genre
Perl,"['perl', 'Perl']","['language', 'programming language']",['Perl'],perl,language
Perl,"['perl', 'Perl']","['language', 'programming language']",['Perl'],perl,programming language
tai chi,"['tai_chi', 'tai_Chi', 'Tai_Chi', 'Tai_chi']",['person'],['Tai_chi'],tai chi,person
soil science,"['soil_science', 'Soil_Science', 'Soil_science', 'soil_Science']","['book', 'university']",['Soil_science'],soil science,book
soil science,"['soil_science', 'Soil_Science', 'Soil_science', 'soil_Science']","['book', 'university']",['Soil_science'],soil science,university
mathematics,"['mathematics', 'Mathematics']","['book', 'university']",['Mathematics'],mathematics,book
mathematics,"['mathematics', 'Mathematics']","['book', 'university']",['Mathematics'],mathematics,university
Cain and Abel,"['Cain_And_Abel', 'Cain_and_abel', 'Cain_and_Abel', 'cain_And_abel', 'Cain_And_abel', 'cain_And_Abel', 'cain_and_abel', 'cain_and_Abel']",['person'],['Cain_and_Abel'],cain and abel,person
history of philosophy,"['History_of_philosophy', 'history_of_philosophy', 'History_of_Philosophy', 'history_of_Philosophy', 'History_Of_Philosophy', 'History_Of_philosophy', 'history_Of_philosophy', 'history_Of_Philosophy']","['album', 'person function']",['History_of_philosophy'],history of philosophy,album
history of philosophy,"['History_of_philosophy', 'history_of_philosophy', 'History_of_Philosophy', 'history_of_Philosophy', 'History_Of_Philosophy', 'History_Of_philosophy', 'history_Of_philosophy', 'history_Of_Philosophy']","['album', 'person function']",['History_of_philosophy'],history of philosophy,person function
systems theory,"['systems_Theory', 'Systems_theory', 'Systems_Theory', 'systems_theory']",['book'],['Systems_theory'],systems theory,book
data warehouse,"['data_warehouse', 'Data_Warehouse', 'Data_warehouse', 'data_Warehouse']",['music genre'],['Data_Warehouse'],data warehouse,music genre
Capture One,"['capture_One', 'capture_one', 'Capture_One', 'Capture_one']","['software', 'work']",['Capture_One'],capture one,software
Capture One,"['capture_One', 'capture_one', 'Capture_One', 'Capture_one']","['software', 'work']",['Capture_One'],capture one,work
sign language,"['sign_Language', 'sign_language', 'Sign_Language', 'Sign_language']",['language'],['Sign_language'],sign language,language
information extraction,"['information_extraction', 'Information_extraction', 'Information_Extraction', 'information_Extraction']",['music genre'],['Information_Extraction'],information extraction,music genre
Lisp,"['Lisp', 'lisp']",['disease'],['Lisp'],lisp,disease
Oracle Data Integrator,"['Oracle_Data_Integrator', 'Oracle_data_Integrator', 'oracle_Data_Integrator', 'oracle_data_integrator', 'oracle_Data_integrator', 'Oracle_Data_integrator', 'oracle_data_Integrator', 'Oracle_data_integrator']",['drug'],['Oracle_Data_Integrator'],oracle data integrator,drug
pollution prevention,"['Pollution_Prevention', 'pollution_Prevention', 'pollution_prevention', 'Pollution_prevention']",['company'],['Pollution_prevention'],pollution prevention,company
crisis intervention,"['crisis_intervention', 'Crisis_intervention', 'Crisis_Intervention', 'crisis_Intervention']","['hospital', 'person function']",['Crisis_intervention'],crisis intervention,hospital
crisis intervention,"['crisis_intervention', 'Crisis_intervention', 'Crisis_Intervention', 'crisis_Intervention']","['hospital', 'person function']",['Crisis_intervention'],crisis intervention,person function
Earth science,"['Earth_Science', 'earth_Science', 'Earth_science', 'earth_science']",['person function'],['Earth_science'],earth science,person function
firmware,"['firmware', 'Firmware']","['software', 'music genre']",['Firmware'],firmware,software
firmware,"['firmware', 'Firmware']","['software', 'music genre']",['Firmware'],firmware,music genre
occupational medicine,"['Occupational_medicine', 'occupational_Medicine', 'occupational_medicine', 'Occupational_Medicine']",['organisation'],['Occupational_medicine'],occupational medicine,organisation
psychiatry,"['Psychiatry', 'psychiatry']",['person function'],['Psychiatry'],psychiatry,person function
e-procurement,"['E-procurement', 'e-procurement']",['company'],['E-procurement'],e-procurement,company
endocrinology,"['endocrinology', 'Endocrinology']","['medical specialty', 'organisation', 'person function']",['Endocrinology'],endocrinology,medical specialty
endocrinology,"['endocrinology', 'Endocrinology']","['medical specialty', 'organisation', 'person function']",['Endocrinology'],endocrinology,organisation
endocrinology,"['endocrinology', 'Endocrinology']","['medical specialty', 'organisation', 'person function']",['Endocrinology'],endocrinology,person function
history,"['History', 'history']","['book', 'music genre']",['History'],history,book
history,"['History', 'history']","['book', 'music genre']",['History'],history,music genre
business analysis,"['Business_analysis', 'business_Analysis', 'business_analysis', 'Business_Analysis']",['sport'],['Business_analysis'],business analysis,sport
mechanical engineering,"['mechanical_Engineering', 'mechanical_engineering', 'Mechanical_engineering', 'Mechanical_Engineering']","['university', 'sport', 'person function']","['Mechanical_engineering', 'Mechanical_Engineering']",mechanical engineering,university
mechanical engineering,"['mechanical_Engineering', 'mechanical_engineering', 'Mechanical_engineering', 'Mechanical_Engineering']","['university', 'sport', 'person function']","['Mechanical_engineering', 'Mechanical_Engineering']",mechanical engineering,sport
mechanical engineering,"['mechanical_Engineering', 'mechanical_engineering', 'Mechanical_engineering', 'Mechanical_Engineering']","['university', 'sport', 'person function']","['Mechanical_engineering', 'Mechanical_Engineering']",mechanical engineering,person function
childbirth,"['Childbirth', 'childbirth']","['societal event', 'disease']",['Childbirth'],childbirth,societal event
childbirth,"['Childbirth', 'childbirth']","['societal event', 'disease']",['Childbirth'],childbirth,disease
public offering,"['public_offering', 'Public_Offering', 'public_Offering', 'Public_offering']",['work'],['Public_offering'],public offering,work
osteopathy,"['osteopathy', 'Osteopathy']",['person function'],['Osteopathy'],osteopathy,person function
Salt,"['salt', 'Salt']","['currency', 'mineral']",['Salt'],salt,currency
Salt,"['salt', 'Salt']","['currency', 'mineral']",['Salt'],salt,mineral
archaeology,"['Archaeology', 'archaeology']","['book', 'person function']",['Archaeology'],archaeology,book
archaeology,"['Archaeology', 'archaeology']","['book', 'person function']",['Archaeology'],archaeology,person function
actuarial science,"['Actuarial_Science', 'actuarial_Science', 'Actuarial_science', 'actuarial_science']","['sport', 'person function']",['Actuarial_science'],actuarial science,sport
actuarial science,"['Actuarial_Science', 'actuarial_Science', 'Actuarial_science', 'actuarial_science']","['sport', 'person function']",['Actuarial_science'],actuarial science,person function
grammar,"['grammar', 'Grammar']",['person function'],['Grammar'],grammar,person function
environmental policy,"['Environmental_policy', 'environmental_Policy', 'environmental_policy', 'Environmental_Policy']",['music genre'],['Environmental_policy'],environmental policy,music genre
social sciences,"['Social_sciences', 'social_sciences', 'social_Sciences', 'Social_Sciences']","['music genre', 'music genre']","['Social_sciences', 'Social_Sciences']",social sciences,music genre
social sciences,"['Social_sciences', 'social_sciences', 'social_Sciences', 'Social_Sciences']","['music genre', 'music genre']","['Social_sciences', 'Social_Sciences']",social sciences,music genre
entertainment industry,"['entertainment_Industry', 'entertainment_industry', 'Entertainment_Industry', 'Entertainment_industry']",['music genre'],['Entertainment_industry'],entertainment industry,music genre
human physiology,"['Human_Physiology', 'Human_physiology', 'human_Physiology', 'human_physiology']",['university'],['Human_physiology'],human physiology,university
petroleum,"['petroleum', 'Petroleum']",['person function'],['Petroleum'],petroleum,person function
gemology,"['Gemology', 'gemology']",['work'],['Gemology'],gemology,work
football,"['football', 'Football']",['sport'],['Football'],football,sport
microeconomics,"['microeconomics', 'Microeconomics']",['organisation'],['Microeconomics'],microeconomics,organisation
high-performance liquid chromatography,"['high-performance_liquid_chromatography', 'high-performance_Liquid_Chromatography', 'High-performance_Liquid_Chromatography', 'High-performance_Liquid_chromatography', 'high-performance_liquid_Chromatography', 'High-performance_liquid_Chromatography', 'High-performance_liquid_chromatography', 'high-performance_Liquid_chromatography']",['topical concept'],['High-performance_liquid_chromatography'],high-performance liquid chromatography,topical concept
Joomla,"['joomla', 'Joomla']","['software', 'work']",['Joomla'],joomla,software
